Chico State Project ID,Original Chico State seq. no.,ICP-MS ID,Burned,Urban,Watershed Full,Watershed,Location on Label,Location,USGS Station name,Date Sampled,Time,Date & Time Sampled,Total vs. Dissolved Metals,Sample Name,Run Date,Dilution Factor,Metal,Concentration (ppb)
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,Al,16.29147803
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,K,777.6865539
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,Ca,10220.31831
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,Cr,0.476955796
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,V,1.898533048
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,Mn,2.096401944
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,Fe,4.665781181
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,Co,0.01508668
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,Ni,0.409641671
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,Cu,1.99582788
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,Zn,16.63124926
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,As,0.45696107
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,Se,-0.026348678
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,Cd,0.003616269
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,Ba,30.72767123
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,Tl,-0.001489954
CF4001,1,CF4001D,Partially,Partially,Butte Creek,Butte Creek,Butte Creek,Butte Cr @ BCEP,Butte Cr @ BCEP,11/19/18,4:00 PM,11/19/18 16:00,Dissolved,CF4001D,6/30/20,1,Pb,0.07113001
